Source,Title,Link,Price,Posted,Description,Bedrooms,Bathrooms,Utilities Included
The Cannon,"30 Landsdown Dr, Guelph",https://thecannon.ca/classified/housing/159217/,$850 per room,7/Jun/2026,"Main floor of a Bungalow available for rent. Has 4 bedrooms, 1.5 bathroom, ensuite laundry, kitchen, Living/Dinning room,",4,1.5,False
The Cannon,"21 Mason Ct, Guelph",https://thecannon.ca/classified/housing/159215/,$750+,7/Jun/2026,"2 UPSTAIRS BEDROOMS available for students in 4-bedroom, 2-bathroom house for July 1, 10-month lease for $750+. New kitchen (2023) with backyard/patio access, main floor living room. Kitchen has stove and TWO full-sized fridges. Onsite laundry",N/A,N/A,False
The Cannon,"8 Smart St, Guelph",https://thecannon.ca/classified/housing/159208/,$1000/M including UTL,7/Jun/2026,A SPACIOUS AND BRIGHT 2-BEDROOM BASEMENT APARTMENT IN A LEGAL DUPLEX WITH 20-MIN WALK TO UOFG!,N/A,N/A,False
The Cannon,"306 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159196/,$899 +,7/Jun/2026,Stuck on the waitlist? We have a space for you!!,N/A,N/A,False
The Cannon,"28 Vaughan St, Guelph",https://thecannon.ca/classified/housing/159189/,$700,6/Jun/2026,"Welcome to a clean, quiet, and comfortable home set in a peaceful neighborhood, overlooking a conservation park and a serene pond. Life feels better when you’re surrounded by stunning scenery and peaceful waters. This is a destination you won’t want",N/A,N/A,False
The Cannon,"75 Terraview Crescent, Guelph",https://thecannon.ca/classified/housing/159182/,$1000 / 1150,6/Jun/2026,"Two bedrooms available in a 4 bedroom, 3.5 bathroom all female townhouse. One room is the master bedroom with private ensuite bathroom. The second room shares a bathroom with one other person. Both are large rooms with lots of natural light.",4,3.5,False
The Cannon,"1083 Gordon St, Guelph",https://thecannon.ca/classified/housing/159171/,$900,6/Jun/2026,2 out of 3 bedrooms available for rent. Rent is $900 a month including internet and utilities.,3,N/A,False
The Cannon,"920 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/159165/,"$1,040 (ALL INCLUSIVE)",6/Jun/2026,"1 large basement bedroom is immediately available in a beautiful, well-maintained 4-bedroom, 2.5-bathroom townhouse. Looking for a friendly and respectful female student who values a clean and well organized living environment to join 3 other female",N/A,N/A,False
The Cannon,"186 Rickson Ave, Guelph",https://thecannon.ca/classified/housing/159153/,$950 all inclusive,6/Jun/2026,"Hello, our current tenant will be moving out August 31st and we will be looking for a new student tenant to rent our basement starting September 1, 2026.",N/A,N/A,False
The Cannon,"37 MacAlister Blvd, Guelph",https://thecannon.ca/classified/housing/158979/,$1800,6/Jun/2026,Beautiful Bright and spacious 2 Bedroom 1 Bath newly build basement apartment available for rent on Macalister Blvd in Guelph. 1 Parking available,2,1,False
The Cannon,"722 Scottsdale Dr, Guelph",https://thecannon.ca/classified/housing/159177/,$4000,6/Jun/2026,"This house is ideal for incoming student groups. It offers 5 spacious bedrooms, 2.5 bathrooms, a single-car garage, and a driveway that accommodates up to 4 vehicles. The location is extremely convenient—just a 30‑second walk to two bus stops",N/A,2.5,False
The Cannon,"2 Carlaw Pl, Guelph",https://thecannon.ca/classified/housing/159158/,$Neg (~$1000),6/Jun/2026,Hi there. I’m considering renting 1 room (potentially 3) to the right,N/A,N/A,False
The Cannon,"252 Stone Rd W, Guelph",https://thecannon.ca/classified/housing/159155/,$900,6/Jun/2026,"I am a young professional looking for a clean and quiet FEMALE roommate who is student at Uof G. It is a private furnished room in a two-bedroom townhouse, bathroom and kitchen is shared with me. The house is in a prime location, 5 minute walk to",N/A,N/A,False
The Cannon,"59 Janefield Ave, Guelph",https://thecannon.ca/classified/housing/159144/,$850 + utilities,6/Jun/2026,Available for immediate occupancy!,N/A,N/A,False
The Cannon,"32 Roehampton Crescent, Guelph",https://thecannon.ca/classified/housing/159143/,$800/month,6/Jun/2026,2 Rooms Available – South End Student House,N/A,N/A,False
The Cannon,"332 Gordon St, Guelph",https://thecannon.ca/classified/housing/159131/,$995/incl utils,6/Jun/2026,"2 Rooms Available – Loft Unit, 5-Min Walk to U of G",N/A,N/A,False
